County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Harris,201,0167,2010167,4384,State Rep 148,Leal,D,N,0
Harris,201,0179,2010179,4396,State Rep 148,Leal,D,N,15
Harris,201,0184,2010184,4401,State Rep 148,Leal,D,N,11
Harris,201,0206,2010206,4423,State Rep 148,Leal,D,N,93
Harris,201,0207,2010207,4424,State Rep 148,Leal,D,N,38
Harris,201,0270,2010270,4487,State Rep 148,Leal,D,N,79
Harris,201,0299,2010299,4516,State Rep 148,Leal,D,N,18
Harris,201,0313,2010313,4530,State Rep 148,Leal,D,N,1
Harris,201,0322,2010322,4539,State Rep 148,Leal,D,N,0
Harris,201,0323,2010323,4540,State Rep 148,Leal,D,N,35
Harris,201,0330,2010330,4547,State Rep 148,Leal,D,N,26
Harris,201,0339,2010339,4556,State Rep 148,Leal,D,N,42
Harris,201,0341,2010341,4558,State Rep 148,Leal,D,N,13
Harris,201,0446,2010446,4663,State Rep 148,Leal,D,N,6
Harris,201,0448,2010448,4665,State Rep 148,Leal,D,N,2
Harris,201,0501,2010501,4718,State Rep 148,Leal,D,N,67
Harris,201,0505,2010505,4722,State Rep 148,Leal,D,N,82
Harris,201,0543,2010543,4760,State Rep 148,Leal,D,N,17
Harris,201,0610,2010610,4827,State Rep 148,Leal,D,N,15
Harris,201,0637,2010637,4854,State Rep 148,Leal,D,N,83
Harris,201,0663,2010663,4880,State Rep 148,Leal,D,N,23
Harris,201,0683,2010683,4901,State Rep 148,Leal,D,N,0
Harris,201,0729,2010729,4947,State Rep 148,Leal,D,N,9
Harris,201,0736,2010736,4954,State Rep 148,Leal,D,N,64
Harris,201,0795,2010795,5013,State Rep 148,Leal,D,N,16
Harris,201,0809,2010809,5027,State Rep 148,Leal,D,N,0
Harris,201,0846,2010846,5064,State Rep 148,Leal,D,N,1
Harris,201,0900,2010900,5118,State Rep 148,Leal,D,N,1
Harris,201,0927,2010927,5145,State Rep 148,Leal,D,N,127
Harris,201,0940,2010940,5158,State Rep 148,Leal,D,N,0
Harris,201,0966,2010966,5184,State Rep 148,Leal,D,N,11
Harris,201,0975,2010975,5193,State Rep 148,Leal,D,N,10
Harris,201,0989,2010989,5207,State Rep 148,Leal,D,N,0
Harris,201,1004,2011004,5222,State Rep 148,Leal,D,N,24
Harris,201,1094,2011094,5312,State Rep 148,Leal,D,N,0
Harris,201,1124,2011124,5342,State Rep 148,Leal,D,N,0
Harris,201,1132,2011132,5350,State Rep 148,Leal,D,N,0
Harris,201,1150,2011150,5368,State Rep 148,Leal,D,N,0

